"DrawId","DrawDate","DrawNo","Num1","Num2","Num3","Num4","Num5","Num6","AdditionalNum","FirstPrice"
"RHJhd051bWJlcj0zNTI0","2019-11-04","3524","3","8","9","38","41","44","34","2818874"
"RHJhd051bWJlcj0zODE0","2022-11-03",3814,13,21,24,25,26,41,11,5578700
